stddev30,stddev420,stddev1400,stddev6900,vov3,vov5,vov10
0.0005344,0.00124077,0.00274599,0.0090707,3.364e-05,8.623e-05,8.133e-05
0.00062146,0.00295927,0.00243109,0.00781176,2.91e-06,8.858e-05,8.383e-05
0.00043456,0.0014223,0.00737311,0.00770747,2.886e-05,3.237e-05,8.208e-05
0.00043714,0.00211597,0.00311582,0.00875754,2.468e-05,2.737e-05,6.937e-05
0.00038557,0.00051783,0.00277711,0.00867491,4.855e-05,3.886e-05,7.361e-05
0.0008484,0.00191153,0.00359353,0.00762766,5.421e-05,5.443e-05,8.385e-05
0.00028748,0.00100785,0.00225776,0.00606848,3.345e-05,5.436e-05,7.994e-05
0.00036197,0.00161325,0.00390377,0.00397377,4.447e-05,4.66e-05,4.43e-05
0.00061033,0.00133802,0.00303573,0.00442903,1.748e-05,3.626e-05,3.97e-05
0.00046833,0.00357142,0.00839815,0.00716003,1.899e-05,3.74e-05,4.009e-05
0.0003437,0.00149804,0.00167441,0.01146731,2.896e-05,2.788e-05,4.328e-05
0.00039225,0.00069342,0.00116763,0.01094859,5.238e-05,4.942e-05,5.348e-05
0.00056414,0.00088133,0.00287442,0.00886835,2.338e-05,4.557e-05,5.008e-05
0.00053643,0.0010386,0.00363904,0.00722468,1.183e-05,4.769e-05,4.767e-05
0.00068903,0.00119203,0.0024417,0.00436195,1.147e-05,2.092e-05,4.912e-05
0.00041688,0.00083771,0.00212335,0.00657313,1.045e-05,1.149e-05,5.121e-05
0.00066736,0.00191769,0.00314541,0.00686247,8.07e-06,1.004e-05,4.92e-05
0.00039658,0.00157341,0.00486479,0.0074041,4.098e-05,3.502e-05,4.367e-05
0.00068045,0.00571153,0.00400959,0.00918741,4.252e-05,4.439e-05,4.625e-05
0.0003512,0.00049956,0.0051818,0.00994157,1.066e-05,4.401e-05,4.011e-05
0.00062425,0.00108171,0.00164584,0.00833925,7.486e-05,6.364e-05,4.967e-05
0.00030938,0.00092094,0.00224329,0.00570168,6.227e-05,7.061e-05,5.22e-05
0.0006465,0.0041069,0.00479958,0.00663223,7.017e-05,7.164e-05,5.682e-05
0.00058474,0.00105485,0.00121418,0.00618446,5.956e-05,6.79e-05,5.77e-05
0.00035134,0.0011187,0.00174636,0.00413534,5.26e-06,6.913e-05,5.907e-05
0.00032395,0.00118733,0.00186931,0.00377432,3.631e-05,5.245e-05,5.835e-05
0.00041399,0.00084448,0.00224993,0.00458524,4.826e-05,5.000e-05,6.163e-05
0.00040384,0.00078785,0.00141335,0.00434735,1.601e-05,5.019e-05,6.205e-05
0.00076323,0.00154278,0.00176969,0.00427723,3.638e-05,4.418e-05,5.759e-05
